images\med_7d5c2b99_013.png	carbimazole 5mg
images\med_6678f79a_028.png	Allegra 120mg Tablet
images\med_0f285d70_002.png	betnovate cream cream
images\med_b3b2663f_010.png	Etofylline + Theophylline 150mg + 25mg
images\med_3b9ad30b_020.png	Amitriptyline HCl 25mg
images\med_933bc2d8_019.png	Franco-Indian Pharma
images\med_8fb8564a_000.png	CIPLA
images\med_f9979576_018.png	SUN PHARMA
images\med_21924655_001.png	dexamethasone 0.5mg tablet
images\med_35bc51a1_008.png	pantop 40mg
images\med_99374b8f_003.png	Aspirin325mg
images\med_4bd10aff_027.png	Galvus 50 mg Tablet
images\med_7f6dd7f5_004.png	Ibuprofen 400 mg
images\med_7c3ed740_000.png	Metoprolol25mg
images\med_a960b0ea_010.png	Phenytoin 100mg
images\med_97e744bf_020.png	Cipla
images\med_c4dace63_004.png	sun pharma
images\med_11787c7d_012.png	Ferrous Sulphate 200 mg
images\med_cc016fbc_008.png	alembic pharma
images\med_7dad208c_017.png	Omez 20 mg
images\med_5d008352_018.png	Fluoxetine 20Mg
images\med_25d144ba_009.png	Ondansetron 4Mg Tablet
images\med_c4bbc34a_010.png	10 mg
images\med_7f6dd7f5_014.png	BRUFEN 400MG
images\med_cc016fbc_011.png	500mg
images\med_c126403b_010.png	Donepezil 5Mg Tablet
images\med_2291c346_013.png	Liquid Paraffin + Milk Of Magnesia Compound
images\med_07dac638_003.png	Becosules Capsule
images\med_cb7204d4_016.png	dydrogesterone
images\med_c126403b_005.png	DONEPEZIL 5MG TABLET
images\med_c4dace63_001.png	50MG
images\med_befd0233_023.png	calcium sandoz 500mg tablet
images\med_4bd10aff_010.png	Vildagliptin
images\med_1bffb35a_001.png	Metformin 500Mg Tablet
images\med_db966d24_010.png	25mcg + 250mcg
images\med_3a1940c1_000.png	CIPLA
images\med_c4dace63_026.png	Sun Pharma
images\med_da56c31b_020.png	Clonazepam0.5mg
images\med_1e668cd4_015.png	Glenmark
images\med_7f6dd7f5_007.png	ibuprofen
images\med_2aefc1e7_003.png	AMOXICILLIN
images\med_fed4f81f_020.png	Jardiance 10Mg Tablet
images\med_3b9ad30b_023.png	AMITRIPTYLINE 25MG TABLET
images\med_5d008352_022.png	Cipla
images\med_3d1f6924_021.png	NEUROBION FORTE TABLET
images\med_34c88a9e_018.png	100mg
images\med_35bc51a1_013.png	Pantop 40mg Tablet
images\med_de61ea08_018.png	Loratadine 10 mg
images\med_3d1f6924_007.png	msd india
images\med_8a5e5f83_013.png	Timolol0.5%EyeDrop
images\med_b65b6f2d_003.png	10mg
images\med_4bd10aff_025.png	VILDAGLIPTIN
images\med_9cb4a48b_011.png	MONTELUKAST 10MG
images\med_d7548961_014.png	Gabapentin 300Mg
images\med_7c3ed740_024.png	MetoprololSuccinate
images\med_7c3ed740_015.png	METOPROLOL 25MG TABLET
images\med_db3d2896_029.png	DICLOFENAC SODIUM
images\med_2171bf1c_022.png	Pregabalin 75 mg
images\med_db3d2896_014.png	Voveran 50Mg Tablet
images\med_c126403b_027.png	Donepezil5mg
images\med_8f908c02_008.png	insulin glargine
images\med_5a94c15f_010.png	Clotrimazole1%
images\med_4bd10aff_007.png	NovartisIndia
images\med_1bffb35a_022.png	Metformin HCl
images\med_59978ce5_017.png	Diphenhydramine + Ammonium Chloride + Sodium Citrate Compound
images\med_cc016fbc_020.png	Azithral 500Mg
images\med_a8d76f91_007.png	1mg + 0.035mg
images\med_280c681a_016.png	PIRAMAL HEALTHCARE
images\med_f12eb12e_020.png	10 mg
images\med_e37fc85a_001.png	150 mg
images\med_696ae1bd_016.png	VitaminD360000IUCapsule
images\med_738912bb_011.png	olanzapine 5mg
images\med_9b4b4ce2_019.png	Prednisolone 5 mg
images\med_be0f137d_025.png	Calcium Carbonate + Vitamin D3 500mg + 250 IU
images\med_0f1728cf_002.png	METHYLPREDNISOLONE 4MG
images\med_d7548961_012.png	300Mg
images\med_2d223f42_003.png	TERBINAFINE HCL
images\med_06d5617a_010.png	ciprofloxacin 500mg
images\med_696ae1bd_003.png	vitamin d3 60000 iu capsule
images\med_3a1940c1_001.png	ranitidine 150mg
images\med_99374b8f_011.png	DISPRIN 325MG
images\med_c0648a4e_018.png	Cipla
images\med_7d5c2b99_011.png	Neomercazole5mg
images\med_8a5e5f83_003.png	Timolol 0.5% Eye Drop Eye Drop
images\med_3a1940c1_023.png	Ranitidine HCl 150 mg
images\med_9b4b4ce2_015.png	WYSOLONE 5MG
images\med_0abbc03e_004.png	Alprazolam0.5mgTablet
images\med_22377fd2_016.png	aspirin 75mg
images\med_b8518679_008.png	2MG
images\med_db966d24_014.png	Seroflo250Inhaler
images\med_1e668cd4_026.png	glenmark
images\med_81d90895_010.png	60000 IU
images\med_5a846311_002.png	Oseltamivir Phosphate 75 mg
images\med_a960b0ea_019.png	PHENYTOIN SODIUM 100MG
images\med_cb7204d4_009.png	Dydrogesterone 10 mg
images\med_e37fc85a_015.png	Fluconazole 150 mg Capsule
images\med_7c8a8df6_020.png	400mg
images\med_f9979576_004.png	50MG
images\med_ee8e2396_009.png	artesunate
images\med_ee8e2396_010.png	IPCA Laboratories
images\med_0f285d70_009.png	BETNOVATE CREAM CREAM
images\med_e37fc85a_006.png	fluconazole
images\med_06d5617a_004.png	cifran 500mg
images\med_db966d24_019.png	SEROFLO 250 INHALER
images\med_8a5e5f83_012.png	Timolol 0.5% Eye Drop
images\med_8fb8564a_011.png	asthalin inhaler
images\med_21924655_005.png	0.5 mg
images\med_7d5c2b99_004.png	Neomercazole5mgTablet
images\med_294952e4_009.png	GrilinctusSyrup
images\med_e7334590_016.png	Doxycycline100mg
images\med_1e668cd4_019.png	telmisartan
images\med_06d5617a_020.png	Cifran 500Mg Tablet
images\med_0133a0cb_018.png	50mg
images\med_7f6dd7f5_025.png	ibuprofen 400mg
images\med_c6d7e0de_005.png	Lactulose 10 g/15 ml
images\med_1bffb35a_030.png	METFORMIN HCL
images\med_35bc51a1_009.png	pantoprazole
images\med_0f1728cf_011.png	Methyl Prednisolone 4mg
images\med_97e744bf_016.png	Cetirizine 10Mg Tablet
images\med_deb81d93_011.png	betnesol eye drop eye drop
images\med_c4c13132_014.png	0.25 mg
images\med_5d008352_017.png	Fluoxetine 20mg
images\med_223d0157_021.png	Folic Acid 5mg Tablet
images\med_1bffb35a_020.png	Metformin Hcl 500Mg
images\med_e93a0754_020.png	650mg
images\med_befd0233_012.png	Calcium Carbonate 500 mg
images\med_db3d2896_027.png	diclofenac sodium 50mg
images\med_659bda0a_016.png	Warfarin 5 mg Tablet
images\med_3b9ad30b_014.png	SUN PHARMA
images\med_7dad208c_004.png	Omez20mg
images\med_59978ce5_022.png	COMPOUND
images\med_7c3ed740_006.png	Metoprolol 25mg
images\med_f12eb12e_021.png	Rosuvastatin 10 mg Tablet
images\med_ee8e2396_004.png	200 mg
images\med_3d1f6924_018.png	b1 + b6 + b12 complex
images\med_de61ea08_009.png	10 mg
images\med_7c8a8df6_004.png	Metronidazole 400 mg
images\med_35bc51a1_002.png	aristo pharma
images\med_ff4cc516_011.png	100 IU/ml
images\med_5d008352_016.png	Fluoxetine Hcl 20Mg
images\med_7d5c2b99_023.png	5MG
images\med_fed4f81f_003.png	Jardiance 10 mg Tablet
images\med_c126403b_018.png	Donepezil Hcl 5Mg
images\med_ca0a8ab3_017.png	Clindamycin300mgCapsule
images\med_f12eb12e_012.png	rosuvastatin 10mg
images\med_06d5617a_028.png	CIFRAN 500MG
images\med_8b4252b2_016.png	100mg
images\med_be0f137d_028.png	500MG + 250 IU
images\med_9b1b6f11_008.png	Acyclovir 400 mg Tablet
images\med_25d144ba_020.png	Ondansetron 4mg
images\med_befd0233_003.png	calcium sandoz 500mg
images\med_dfe5d351_030.png	Lariago250mgTablet
images\med_0b20efea_008.png	Nimesulide 100Mg
images\med_5a6bf418_019.png	Gsk India
images\med_dfe5d351_000.png	ChloroquinePhosphate250mg
images\med_8f908c02_006.png	Lantus 100Iu Injection
images\med_7f6dd7f5_017.png	Brufen 400mg Tablet
images\med_2291c346_023.png	Cremaffin Syrup Syrup
images\med_ff4cc516_002.png	100 Iu/Ml
images\med_280c681a_004.png	I-Pill 1.5mg Tablet
images\med_febe41f1_005.png	sun pharma
images\med_c0648a4e_011.png	Alendronic Acid
images\med_06d5617a_013.png	SUN PHARMA
images\med_be0f137d_022.png	500mg+250IU
images\med_ff4cc516_026.png	100 IU/ML
images\med_3b9ad30b_024.png	Amitriptyline 25 mg
images\med_d7548961_002.png	sun pharma
images\med_d95c2b97_020.png	glycomet 1gm
images\med_7f6dd7f5_022.png	Abbott India
images\med_cb17285c_002.png	Gelusil MPS
images\med_8d46c2a1_008.png	50Mg
images\med_7c3ed740_022.png	25Mg
images\med_22377fd2_017.png	Ecosprin 75Mg
images\med_b3b2663f_016.png	150MG + 25MG
images\med_35bc51a1_010.png	pantoprazole 40mg
images\med_febe41f1_021.png	Sertraline50mg
images\med_2171bf1c_014.png	75Mg
images\med_168cba08_015.png	phenergan 25mg
images\med_c4dace63_019.png	SUMATRIPTAN 50MG TABLET
images\med_f162e9c8_004.png	20MG
images\med_a9a99c83_015.png	Tamsulosin 0.4mg Capsule
images\med_e0edd5c4_003.png	Cefixime200mgTablet
images\med_2291c346_004.png	LIQUID PARAFFIN + MILK OF MAGNESIA
images\med_168cba08_017.png	Phenergan 25 mg
images\med_8b4252b2_003.png	100MG
images\med_280c681a_022.png	1.5MG
images\med_07dac638_017.png	becosules capsule
images\med_0abbc03e_020.png	alprazolam
images\med_e0edd5c4_009.png	cefixime 200mg tablet
images\med_c4dace63_014.png	50 mg
images\med_97e744bf_009.png	Cetirizine10mg
images\med_f162e9c8_013.png	Olsar 20Mg
images\med_a9a99c83_018.png	TamsulosinHCl
images\med_3b9ad30b_006.png	amitriptyline 25mg tablet
images\med_e93a0754_012.png	Dolo 650Mg Tablet
images\med_696ae1bd_022.png	Sun Pharma
images\med_0133a0cb_021.png	losartan 50mg tablet
images\med_ca0a8ab3_000.png	Clindamycin300mg
images\med_63bdcdad_019.png	moxifloxacin hcl 0.5%
images\med_de61ea08_022.png	LORATADINE
images\med_68cbc105_012.png	AUGMENTIN 625MG
images\med_8fb8564a_010.png	Salbutamol 100Mcg
images\med_b65b6f2d_004.png	Atorvastatin Calcium 10Mg
images\med_0b20efea_013.png	100 mg
images\med_7d5c2b99_018.png	Neomercazole 5Mg Tablet
images\med_3a1940c1_013.png	RANITIDINE HCL 150MG
images\med_68cbc105_001.png	Amoxicillin+Clavulanate625mg
images\med_59978ce5_011.png	Diphenhydramine+AmmoniumChloride+SodiumCitrate
images\med_befd0233_008.png	500mg
images\med_dfe5d351_020.png	250MG
images\med_07dac638_001.png	Standard
images\med_cb17285c_001.png	Aluminium Hydroxide + Magnesium Hydroxide + Simethicone
images\med_a8d76f91_021.png	NORETHISTERONE + ETHINYL ESTRADIOL 1MG + 0.035MG
images\med_0f1728cf_025.png	Methyl Prednisolone 4Mg
images\med_99374b8f_027.png	aspirin
images\med_0f285d70_014.png	Betamethasone Valerate
images\med_9b1b6f11_015.png	cipla
images\med_b65b6f2d_026.png	ATORVASTATIN 10MG
images\med_cc016fbc_027.png	Alembic Pharma
images\med_c4c13132_022.png	GSK India
images\med_81d90895_017.png	60000 iu
images\med_e7334590_010.png	doxycycline hyclate 100mg
images\med_deb81d93_016.png	betamethasone 0.1%
images\med_64f45aaa_009.png	furosemide 40mg tablet
images\med_933bc2d8_020.png	Standard WHO Formula
images\med_cb7204d4_000.png	Duphaston 10mg Tablet
images\med_64f45aaa_005.png	Furosemide 40mg Tablet
images\med_8f908c02_002.png	100 Iu/Ml
images\med_e93a0754_023.png	PARACETAMOL 650MG
images\med_280c681a_002.png	I-Pill1.5mg
images\med_cb17285c_010.png	Aluminium Hydroxide + Magnesium Hydroxide + Simethicone Standard
images\med_280c681a_008.png	1.5Mg
images\med_2171bf1c_009.png	Pregabalin75mgCapsule
images\med_07dac638_007.png	VITAMIN B-COMPLEX
images\med_35bc51a1_021.png	40MG
images\med_8c9c87eb_003.png	Phenylephrine 10mg
images\med_1bffb35a_003.png	Metformin 500mg
images\med_db966d24_004.png	Seroflo 250 Inhaler
images\med_c126403b_009.png	DonepezilHCl5mg
images\med_d7548961_009.png	SUN PHARMA
images\med_febe41f1_010.png	SERTRALINE 50MG TABLET
images\med_e0edd5c4_010.png	Mankind Pharma
images\med_8d46c2a1_001.png	50MG
images\med_280c681a_028.png	I-Pill 1.5Mg Tablet
images\med_06d5617a_007.png	Ciprofloxacin
images\med_81d90895_020.png	CALCIROL 60000 IU GRANULES
images\med_c126403b_000.png	CIPLA
images\med_6678f79a_018.png	Fexofenadine 120 mg
images\med_21924655_008.png	Dexamethasone 0.5mg Tablet
images\med_6678f79a_021.png	Fexofenadine120mg
images\med_db966d24_001.png	25MCG + 250MCG
images\med_8efa4f6a_018.png	Thyronorm 100 mcg
images\med_f12eb12e_015.png	Rosuvastatin Calcium 10Mg
images\med_ca0a8ab3_021.png	CLINDAMYCIN 300MG
images\med_289b4229_014.png	Zentel 400 mg Tablet
images\med_d95c2b97_017.png	Metformin HCl 1000mg
images\med_befd0233_004.png	CalciumSandoz500mg
images\med_cc016fbc_006.png	AZITHRAL 500MG TABLET
images\med_be0f137d_029.png	calcium carbonate + vitamin d3 500mg + 250 iu
images\med_8efa4f6a_004.png	LEVOTHYROXINE
images\med_b3b2663f_013.png	Franco-IndianPharma
images\med_ca0a8ab3_006.png	Clindamycin HCl 300 mg
images\med_4bd10aff_001.png	50MG
images\med_c4c13132_012.png	Gsk India
images\med_9d7fdef9_013.png	SUN PHARMA
images\med_07dac638_004.png	PFIZER INDIA
images\med_81d90895_009.png	Calcirol 60000 Iu
images\med_34c88a9e_013.png	Januvia 100mg Tablet
images\med_d95c2b97_001.png	Metformin HCl 1000 mg
images\med_1e668cd4_008.png	Telma 40 mg Tablet
images\med_7d5c2b99_002.png	Carbimazole 5 mg
images\med_168cba08_014.png	SanofiIndia
images\med_a9a99c83_011.png	TAMSULOSIN 0.4MG CAPSULE
images\med_68cbc105_026.png	GSK India
images\med_e7334590_025.png	doxycycline hyclate
images\med_89cd823e_006.png	Bayer India
images\med_7c3ed740_017.png	Metoprolol 25 mg Tablet
images\med_659bda0a_027.png	warfarin sodium 5mg
images\med_25d144ba_001.png	Ondansetron 4mg Tablet
images\med_ff4cc516_004.png	Huminsulin N 100IU
images\med_223d0157_000.png	CIPLA
images\med_8efa4f6a_023.png	Abbott India
images\med_5d008352_012.png	Fluoxetine20mgCapsule
images\med_c6d7e0de_002.png	LACTULOSE 10G SYRUP SYRUP
images\med_deb81d93_018.png	GSK India
images\med_018099b1_005.png	risperidone 2mg tablet
images\med_659bda0a_011.png	sun pharma
images\med_a9a99c83_028.png	0.4Mg
images\med_f9979576_017.png	50 mg
images\med_25d144ba_021.png	ondansetron 4mg
images\med_0f1728cf_028.png	Methyl Prednisolone 4Mg Tablet
images\med_9cb4a48b_015.png	10 mg
images\med_97e744bf_023.png	Cetirizine HCl 10mg
images\med_a960b0ea_002.png	Phenytoin Sodium 100mg
images\med_db966d24_020.png	25Mcg + 250Mcg
images\med_2ae45ccf_000.png	Amlodipine 5mg
images\med_c126403b_003.png	Donepezil 5Mg
images\med_21924655_013.png	cipla
images\med_c4bbc34a_018.png	10MG
images\med_34c88a9e_004.png	Januvia 100 mg Tablet
images\med_a8d76f91_008.png	HLL LIFECARE
images\med_3a1940c1_016.png	RanitidineHCl
images\med_ecd67f3a_017.png	Tretinoin
images\med_4bd10aff_006.png	Galvus 50mg
images\med_89cd823e_009.png	saridon tablet tablet
images\med_294952e4_013.png	Franco-IndianPharma
images\med_7f6dd7f5_002.png	AbbottIndia
images\med_c4c13132_017.png	Digoxin 0.25Mg Tablet
images\med_659bda0a_008.png	WarfarinSodium
images\med_f9979576_011.png	Tramadol HCl 50mg
images\med_b65b6f2d_002.png	Atorvastatin 10Mg
images\med_3a1940c1_015.png	ranitidine 150mg tablet
images\med_1e668cd4_020.png	Telmisartan40mg
images\med_ff4cc516_016.png	InsulinIsophane(NPH)100IU/ml
images\med_b8518679_003.png	Glimepiride 2Mg
images\med_ff4cc516_019.png	100IU/ml
images\med_5a94c15f_006.png	clotrimazole 1%
images\med_289b4229_015.png	Zentel 400mg Tablet
images\med_0f1728cf_024.png	methyl prednisolone 4mg tablet
images\med_7f6dd7f5_021.png	400mg
images\med_9d7fdef9_006.png	sun pharma
images\med_c4c13132_021.png	digoxin 0.25mg tablet
images\med_befd0233_020.png	Calcium Carbonate 500mg
images\med_5a846311_013.png	oseltamivir phosphate
images\med_280c681a_023.png	I-PILL 1.5MG
images\med_c0648a4e_003.png	Alendronic Acid 70mg
images\med_fed4f81f_027.png	BOEHRINGER INGELHEIM
images\med_cc016fbc_010.png	azithromycin 500mg
images\med_db966d24_009.png	seroflo 250 inhaler
images\med_a8d76f91_011.png	1Mg + 0.035Mg
images\med_06d5617a_016.png	Cifran 500Mg
images\med_0abbc03e_014.png	ALPRAZOLAM
images\med_22377fd2_011.png	Usv Pharma
images\med_59978ce5_014.png	pfizer india
images\med_8b4252b2_018.png	itraconazole 100mg
images\med_9cb4a48b_002.png	10mg
images\med_0f285d70_008.png	BETAMETHASONE VALERATE
images\med_97e744bf_021.png	cetirizine hcl
images\med_223d0157_005.png	FolicAcid
images\med_81d90895_024.png	Calcirol60000IU
images\med_e7334590_019.png	Doxycycline 100 mg Capsule
images\med_e0edd5c4_020.png	Cefixime 200Mg Tablet
images\med_97e744bf_018.png	cipla
images\med_9d7fdef9_008.png	SunPharma
images\med_68cbc105_002.png	AUGMENTIN 625MG TABLET
images\med_6678f79a_020.png	Allegra 120mg
images\med_289b4229_016.png	400 mg
images\med_f162e9c8_002.png	Olmesartan20mg
images\med_c126403b_021.png	5MG
images\med_63bdcdad_021.png	moxifloxacin hcl
images\med_d9dc56e0_007.png	Nitrofurantoin100mgCapsule
images\med_738912bb_013.png	Olanzapine
images\med_43698167_005.png	Spironolactone 25Mg Tablet
images\med_1e668cd4_027.png	TELMISARTAN 40MG
images\med_8efa4f6a_021.png	THYRONORM 100MCG
images\med_d95c2b97_006.png	Glycomet1gm
images\med_2291c346_022.png	compound
images\med_8c9c87eb_014.png	sudafed pe tablet
images\med_e93a0754_024.png	Paracetamol 650Mg
images\med_ee8e2396_024.png	falcigo 200mg
images\med_2aefc1e7_021.png	Amoxicillin500mg
images\med_c6d7e0de_025.png	lactulose 10g syrup
images\med_7c8a8df6_023.png	Metrogyl 400 mg
images\med_635f0b97_011.png	Mucinac 600Mg Effervescent Tablet
images\med_deb81d93_002.png	BETNESOL EYE DROP
images\med_ecd67f3a_010.png	Retino-A 0.025% Cream
images\med_2d223f42_013.png	Novartis India
images\med_a9a99c83_027.png	Tamsulosin Hcl 0.4Mg
images\med_c126403b_023.png	DonepezilHCl
images\med_43698167_017.png	25 mg
images\med_0133a0cb_015.png	Dr.Reddy's
images\med_8f908c02_013.png	100IU/ml
images\med_2aefc1e7_014.png	Amoxicillin
images\med_be0f137d_013.png	Shelcal500mg
images\med_7c8a8df6_024.png	Metrogyl400mgTablet
images\med_cb17285c_004.png	PfizerIndia
images\med_43698167_004.png	SPIRONOLACTONE
images\med_54eb2f38_004.png	Ibuprofen + Paracetamol
images\med_7c8a8df6_000.png	J.B. CHEMICALS
images\med_933bc2d8_007.png	ORAL REHYDRATION SALTS STANDARD WHO FORMULA
images\med_11787c7d_003.png	200 mg
images\med_b8518679_017.png	GLIMEPIRIDE
images\med_db966d24_003.png	seroflo 250 inhaler inhaler
images\med_8efa4f6a_028.png	Thyronorm 100 mcg Tablet
images\med_9b4b4ce2_020.png	prednisolone 5mg
images\med_c0648a4e_017.png	cipla
images\med_35bc51a1_004.png	Pantop 40Mg Tablet
images\med_9cb4a48b_020.png	Cipla
images\med_35bc51a1_020.png	PANTOP 40MG
images\med_dfe5d351_006.png	Lariago 250mg Tablet
images\med_25d144ba_013.png	ondansetron 4mg tablet
images\med_e0edd5c4_005.png	mankind pharma
images\med_4bd10aff_023.png	novartis india
images\med_99374b8f_024.png	RECKITT BENCKISER INDIA
images\med_933bc2d8_022.png	FRANCO-INDIAN PHARMA
images\med_de61ea08_002.png	LORATADINE 10MG
images\med_5a6bf418_004.png	Eltroxin50mcg
images\med_8a5e5f83_006.png	Timolol0.5%EyeDropEyeDrop
images\med_168cba08_019.png	Phenergan 25 mg Tablet
images\med_deb81d93_006.png	BETNESOL EYE DROP EYE DROP
images\med_d95c2b97_008.png	1000mg
images\med_9b4b4ce2_009.png	Prednisolone
images\med_e93a0754_013.png	MicroLabs
images\med_54eb2f38_021.png	sanofi india
images\med_a9a99c83_003.png	TAMSULOSIN HCL 0.4MG
images\med_1bffb35a_024.png	metformin hcl 500mg
images\med_dfe5d351_014.png	chloroquine phosphate 250mg
images\med_933bc2d8_011.png	Standard Who Formula
images\med_018099b1_020.png	Risperidone
images\med_89cd823e_010.png	Paracetamol + Propyphenazone + Caffeine 250mg + 150mg + 50mg
images\med_3b9ad30b_028.png	Amitriptyline 25mg
images\med_cb17285c_023.png	Gelusil Mps
images\med_be0f137d_017.png	Calcium Carbonate + Vitamin D3 500Mg + 250 Iu
images\med_289b4229_013.png	Gsk India
images\med_22377fd2_027.png	75mg
images\med_8b4252b2_012.png	Itraconazole100mgCapsule
images\med_a960b0ea_006.png	Phenytoin100mgTablet
images\med_b8518679_010.png	Glimepiride 2 mg
images\med_a8d76f91_022.png	Mala-DTabletTablet
images\med_a960b0ea_014.png	Pfizer India
images\med_11787c7d_014.png	ferrous sulphate 200mg tablet
images\med_280c681a_018.png	I-Pill 1.5mg
images\med_7c3ed740_008.png	Metoprolol Succinate 25Mg
images\med_f9979576_014.png	Tramadol50mgTablet
images\med_2aefc1e7_012.png	500MG
images\med_0133a0cb_030.png	Losartan Potassium 50Mg
images\med_ee8e2396_013.png	ARTESUNATE 200MG
images\med_1e668cd4_003.png	Telma 40mg
images\med_0abbc03e_011.png	Alprazolam 0.5mg Tablet
images\med_da56c31b_007.png	sun pharma
images\med_7d5c2b99_020.png	neomercazole 5mg tablet
images\med_0b20efea_004.png	mankind pharma
images\med_635f0b97_020.png	MUCINAC 600MG
images\med_ff4cc516_023.png	huminsulin n 100iu
images\med_2d223f42_023.png	terbinafine 250mg tablet
images\med_ff4cc516_013.png	INSULIN ISOPHANE (NPH) 100 IU/ML
images\med_2291c346_003.png	CremaffinSyrup
images\med_9cb4a48b_019.png	Montair 10 mg Tablet
images\med_7c8a8df6_018.png	Metrogyl 400Mg
images\med_97e744bf_015.png	CETIRIZINE HCL
images\med_cc016fbc_017.png	Azithral 500 mg Tablet
images\med_e37fc85a_000.png	CIPLA
images\med_8fb8564a_023.png	Salbutamol 100 mcg
images\med_7cbe86e2_026.png	crocin 500mg
images\med_0f1728cf_020.png	pfizer india
images\med_5a6bf418_018.png	50mcg
images\med_0abbc03e_000.png	Alprazolam 0.5 mg
images\med_0abbc03e_001.png	Alprazolam 0.5 mg Tablet
images\med_2d223f42_024.png	TerbinafineHCl250mg
images\med_21924655_021.png	0.5MG
images\med_b65b6f2d_029.png	Atorvastatin 10Mg Tablet
images\med_c4bbc34a_017.png	domperidone 10mg
images\med_659bda0a_003.png	Warfarin 5mg Tablet
images\med_c4bbc34a_007.png	Domperidone 10mg Tablet
images\med_289b4229_004.png	albendazole 400mg
images\med_22377fd2_020.png	75 mg
images\med_ecd67f3a_019.png	Johnson&JohnsonIndia
images\med_c6d7e0de_003.png	10G/15ML
images\med_8d46c2a1_017.png	Atenolol 50 mg
images\med_696ae1bd_002.png	Cholecalciferol 60000 Iu
images\med_be0f137d_016.png	Shelcal 500mg Tablet
images\med_ca0a8ab3_010.png	ClindamycinHCl300mg
images\med_f162e9c8_005.png	OLSAR 20MG TABLET
images\med_e7334590_013.png	100 mg
images\med_933bc2d8_026.png	Oral Rehydration Salts Standard Who Formula
images\med_9d7fdef9_014.png	STANDARD
images\med_0abbc03e_012.png	Alprazolam0.5mg
images\med_89cd823e_025.png	Paracetamol + Propyphenazone + Caffeine
images\med_738912bb_006.png	Olanzapine 5 mg Tablet
images\med_3d1f6924_019.png	B1 + B6 + B12 Complex
images\med_4bd10aff_008.png	Galvus50mg
images\med_11787c7d_017.png	Ferrous Sulphate 200mg
images\med_cc016fbc_000.png	Azithral 500Mg Tablet
images\med_befd0233_011.png	CalciumCarbonate
images\med_696ae1bd_024.png	VITAMIN D3 60000 IU
images\med_b3b2663f_015.png	FRANCO-INDIAN PHARMA
images\med_9b4b4ce2_006.png	PREDNISOLONE 5MG
images\med_7c3ed740_002.png	METOPROLOL SUCCINATE
images\med_de61ea08_019.png	10Mg
images\med_289b4229_001.png	Albendazole400mg
images\med_c4c13132_009.png	DIGOXIN
images\med_db3d2896_007.png	voveran 50mg
images\med_ca0a8ab3_022.png	300mg
images\med_2d223f42_009.png	Terbinafine 250 mg
images\med_cb7204d4_006.png	Dydrogesterone10mg
images\med_e93a0754_005.png	Dolo 650 mg
images\med_35bc51a1_026.png	Pantoprazole 40mg
images\med_c0648a4e_007.png	Alendronate 70 mg Tablet
images\med_280c681a_027.png	I-Pill1.5mgTablet
images\med_a8d76f91_014.png	1MG + 0.035MG
images\med_cb17285c_024.png	GelusilMPSTablet
images\med_dfe5d351_025.png	CHLOROQUINE PHOSPHATE 250MG
images\med_9d7fdef9_003.png	Revital Capsule
images\med_49978219_006.png	Ramipril5mg
images\med_cb7204d4_024.png	10Mg
images\med_3b9ad30b_003.png	AmitriptylineHCl25mg
images\med_9d7fdef9_017.png	RevitalCapsule
images\med_9d7fdef9_022.png	Multivitamin+MultimineralsStandard
images\med_34c88a9e_027.png	januvia 100mg
images\med_fed4f81f_028.png	Jardiance10mg
images\med_7f6dd7f5_012.png	400Mg
images\med_7c8a8df6_003.png	j.b. chemicals
images\med_2291c346_009.png	CREMAFFIN SYRUP SYRUP
images\med_e37fc85a_012.png	150MG
images\med_7dad208c_022.png	Omeprazole20mg
images\med_49978219_013.png	AventisPharma
images\med_ecd67f3a_007.png	RETINO-A 0.025% CREAM CREAM
images\med_f9979576_019.png	TRAMADOL HCL
images\med_e0edd5c4_017.png	Cefixime 200 mg
images\med_a960b0ea_029.png	phenytoin sodium 100mg
images\med_e0edd5c4_004.png	Cefixime 200 mg Tablet
images\med_3d1f6924_009.png	b1 + b6 + b12 complex standard
images\med_635f0b97_010.png	Mucinac 600 mg
images\med_9cb4a48b_022.png	MONTAIR 10MG
images\med_168cba08_008.png	Promethazine Hcl 25Mg
images\med_a8d76f91_002.png	Norethisterone + Ethinyl Estradiol 1Mg + 0.035Mg
images\med_168cba08_003.png	Phenergan25mg
images\med_2ae45ccf_011.png	AmlodipineBesylate
images\med_21924655_012.png	0.5mg
images\med_21924655_002.png	dexamethasone 0.5mg
images\med_696ae1bd_013.png	SUN PHARMA
images\med_21924655_010.png	DEXAMETHASONE
images\med_cb7204d4_011.png	Duphaston10mg
images\med_f9979576_010.png	TramadolHCl
images\med_4bd10aff_020.png	50mg
images\med_64f45aaa_015.png	40mg
images\med_6678f79a_017.png	Fexofenadine 120mg
images\med_7d0f40c9_007.png	Norflox 400mg
images\med_35bc51a1_019.png	40mg
images\med_738912bb_002.png	olanzapine 5mg tablet
images\med_89cd823e_019.png	SaridonTablet
images\med_c0648a4e_012.png	70mg
images\med_8c9c87eb_010.png	sudafed pe
images\med_2171bf1c_021.png	Pregabalin 75mg Capsule
images\med_b65b6f2d_020.png	Atorvastatin Calcium 10mg
images\med_c4c13132_008.png	GSK INDIA
images\med_43698167_016.png	Spironolactone25mg
images\med_7d0f40c9_013.png	Norflox 400mg Tablet
images\med_7d0f40c9_008.png	NORFLOXACIN
images\med_befd0233_007.png	CalciumSandoz500mgTablet
